Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Collection
the-ordinary,The Ordinary,"<p>Honest actives at honest prices — niacinamide, hyaluronic acid, retinal. Clinical formulations with total transparency, no marketing fairy tales.</p>",The Ordinary,Treatments,french,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,French Skincare
bioderma,Bioderma,"<p>The inventors of micellar water — Sensibio H2O removes makeup like a legend, and Atoderm keeps fragile skin comfortable. French pharmacy at its purest.</p>",Bioderma,Cleansing,french,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,French Skincare
cerave,CeraVe,"<p>Dermatologist-developed with ceramides and MVE technology — cleansers and moisturizers that restore the skin barrier. Simple, effective, loved worldwide.</p>",CeraVe,Hydration,french,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,French Skincare
dior-makeup,Dior Makeup,"<p>Parisian couture beauty — the Backstage foundations, Dior Addict lips and Diorshow mascaras. Runway polish in every piece.</p>",Dior,Face,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
charlotte-tilbury,Charlotte Tilbury,"<p>Red-carpet magic — Pillow Talk lips, Flawless Filter glow and Magic Cream. Makeup artistry that flatters every skin tone.</p>",Charlotte Tilbury,Face,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
rare-beauty,Rare Beauty,"<p>Selena Gomez's soft-touch essentials — the liquid blushes that went viral for a reason. Weightless, blendable, effortlessly modern.</p>",Rare Beauty,Face,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
fenty-beauty,Fenty Beauty,"<p>Rihanna's beauty revolution — Pro Filt'r foundation in every shade, Gloss Bomb shine and killer highlighters. Beauty for all, attitude included.</p>",Fenty Beauty,Face,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
huda-beauty,Huda Beauty,"<p>From Dubai to the world — legendary eyeshadow palettes, faux filter foundation and liquid matte lips. Full-glam perfection by Huda Kattan.</p>",Huda Beauty,Eyes,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
mac-cosmetics,MAC Cosmetics,"<p>The makeup artist's brand — Ruby Woo, Velvet Teddy and Studio Fix. Professional colour that performs on every skin tone, on and off stage.</p>",MAC Cosmetics,Lips,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
maybelline,Maybelline,"<p>New York's everyday icons — Sky High mascara, Fit Me foundation and SuperStay lips. Trend-setting makeup that works as hard as you do.</p>",Maybelline,Face,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
loreal-paris,L'Oréal Paris,"<p>Because you're worth it — Infaillible foundations, Telescopic mascara and Color Riche lips. Parisian beauty, made for every day.</p>",L'Oréal Paris,Face,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
kiko,Kiko Milano,"<p>Italian colour play — smart lip stylos, 3D hydra glosses and endless shade ranges. Milan-designed makeup that makes experimenting easy.</p>",Kiko Milano,Lips,makeup,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Makeup
chanel,Chanel,"<p>The timeless house of N°5 and Coco Mademoiselle — Parisian elegance bottled. A fragrance wardrobe's forever pieces.</p>",Chanel,Women,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
dior-fragrance,Dior Fragrance,"<p>Miss Dior, J'adore and Sauvage — couture fragrance with presence. From soft florals to magnetic depth, worn close and remembered.</p>",Dior,Women,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
ysl,Yves Saint Laurent,"<p>Libre, Black Opium and Mon Paris — bold Parisian fragrance with a rebellious heart. For nights that deserve a signature.</p>",Yves Saint Laurent,Women,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
tom-ford,Tom Ford,"<p>Private Blend luxury — Lost Cherry, Oud Wood and Bitter Peach. Daring, opulent compositions for those who never whisper.</p>",Tom Ford,Unisex,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
giorgio-armani,Giorgio Armani,"<p>Sì, My Way and Acqua di Giò — Italian elegance in scent form. Refined, luminous fragrances that feel like silk.</p>",Giorgio Armani,Women,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
creed,Creed,"<p>Aventus and Silver Mountain Water — over 250 years of artisan perfumery. Hand-crafted luxury for collectors of the exceptional.</p>",Creed,Unisex,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
gucci,Gucci,"<p>Bloom, Guilty and Flora — Italian maximalism in a bottle. Fragrances with personality, from garden florals to after-dark spice.</p>",Gucci,Women,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
jo-malone,Jo Malone London,"<p>English Pear, Wood Sage & Sea Salt — understated London luxury made for layering. Simple, elegant scents you make your own.</p>",Jo Malone London,Fresh,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
maison-francis-kurkdjian,Maison Francis Kurkdjian,"<p>Baccarat Rouge 540 and beyond — modern haute parfumerie from one of the world's great noses. Radiant, unforgettable, collected worldwide.</p>",Maison Francis Kurkdjian,Unisex,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
givenchy,Givenchy,"<p>L'Interdit and Irresistible — French couture fragrance balancing elegance with a thrill of the forbidden.</p>",Givenchy,Women,perfume,TRUE,Title,Default Title,shopify,10,deny,manual,999,TRUE,FALSE,active,Perfumes
